id,Name,URL,Title,Country,Mountain Range,Height(m),Coordinates,Type,Views,Popularity,Number of Images,Number of Paths,Number of GPS Paths,Registration Book,Description
11,Velika Martuljška Ponca,https://www.hribi.net/gora/velika_martuljska_ponca/1/8,Velika Martuljška Ponca,Slovenija,Julijske Alpe,2602,"46,44179°N 13,82419°E",vrh,521158,92% (297. mesto),5,1,1,,Velika Martuljška Ponca se nahaja v osrčju Martuljških gora. Z vrha je zelo lep pogled na Škrlatico in bližnji Oltar.
12,Razor,https://www.hribi.net/gora/razor/1/9,Razor,Slovenija,Julijske Alpe,2601,"46,41194°N 13,79138°E",vrh,794985,98% (55. mesto),18,5,4,6,"Vrh se nahaja nad alpsko dolino Mlinarico. Vrh, ki ni prostoren ima zelo lep razgled. Lepo so vidni vsi vrhovi nad Kriškimi podi. Tudi Triglav in Jalovec ne manjkata. Vrh ima vpisno skrinjico z žigom in vpisno knjigo."
13,Dolkova špica,https://www.hribi.net/gora/dolkova_spica/1/10,Dolkova špica,Slovenija,Julijske Alpe,2591,"46,42574°N 13,81467°E",vrh,588062,95% (178. mesto),17,5,2,1,"Dolkova špica je 2591 m visoka gora, ki se nahaja med Stenarjem in Škrlatico. Z vrha, na katerem je vpisna skrinjica, se nam odpre lep razgled na najvišje vrhove v Julijskih Alpah."
14,Visoki Kanin,https://www.hribi.net/gora/visoki_kanin/1/12,Visoki Kanin,"Italija , Slovenija",Julijske Alpe,2587,"46,36018°N 13,439°E",vrh,657848,97% (120. mesto),11,8,1,,Visoki Kanin je najvišji vrh Kaninskega pogorja. Z vrha na katerem stoji križ je lep razgled na zahodne Julijske Alpe in ob lepem vremenu tudi del Tržaškega zaliva v Jadranskem morju.
15,Rjavec,https://www.hribi.net/gora/rjavec/1/4122,Rjavec,Slovenija,Julijske Alpe,2571,"46,37179°N 13,83921°E",vrh,1020,25% (2711. mesto),5,1,0,,"Tretji vrh Triglava, ki je malo nižji in tudi poredko obiskan."
16,Mali Kanin,https://www.hribi.net/gora/mali_kanin/1/13,Mali Kanin,"Italija , Slovenija",Julijske Alpe,2571,"46,35727°N 13,43765°E",vrh,453197,87% (479. mesto),9,3,0,,Mali Kanin je sosednja gora bolj znanega Visokega Kanina. Vrh ima lep razgled na Kaninsko pogorje in zadaj na vrhove nad dolino Soče. Razgled proti severu na Montaževo skupino pa delno zakriva Visoki Kanin.
17,Kanjavec (Zahodni vrh),https://www.hribi.net/gora/kanjavec_zahodni_vrh/1/1544,Kanjavec (Zahodni vrh),Slovenija,Julijske Alpe,2569,"46,3601°N 13,8073°E",vrh,395410,82% (671. mesto),4,4,0,,"Zahodni vrh Kanjavca je 2569 m visoka gora, ki se prepadno spušča proti dolini Zadnjice. Z vrha, se nam odpre lep pogled na gore, ki se dviguje nad Zgornjim Posočjem."
18,Kanjavec,https://www.hribi.net/gora/kanjavec/1/14,Kanjavec,Slovenija,Julijske Alpe,2569,"46,3602°N 13,80966°E",vrh,682150,97% (100. mesto),15,9,5,4,"Kanjavec je 2569 m visoka gora, ki se nahaja med Doličem in Hribaricami. Z vrha, ki ima vpisno skrinjico in žig, se nam odpre lep razgled na Triglav ter ostale gore nad dolinama Trente in Bohinja."
19,Glava v Zaplanji,https://www.hribi.net/gora/glava_v_zaplanji/1/17,Glava v Zaplanji,Slovenija,Julijske Alpe,2556,"46,37731°N 13,82801°E",vrh,449041,87% (488. mesto),3,4,0,1,Glava v Zaplanji je manj znan vrh v bližini Triglava. Le nekaj metrov pod vrhom stoji propadajoča Morbegna. Z vrha je zelo lep pogled na Triglav in gore nad dolino Soče.
20,Rogljica,https://www.hribi.net/gora/rogljica/1/19,Rogljica,Slovenija,Julijske Alpe,2547,"46,42769°N 13,81231°E",vrh,405035,82% (639. mesto),5,1,0,,Rogljica je malo znana in še manj obiskana gora v Julijskih alpah. Nahaja se med dolino Vrata in Krnico. Z vrha je lep pogled proti sosednji Dolkovi in Rakovi špici. Tudi Škrlatica ne manjka.
21,Prisank / Prisojnik,https://www.hribi.net/gora/prisank___prisojnik/1/18,Prisank / Prisojnik,Slovenija,Julijske Alpe,2547,"46,42464°N 13,76974°E",vrh,974079,99% (22. mesto),17,12,0,6,"Prisank tudi Prisojnik je 2547 m visoka gora, ki se nahaja nad dolinami Mlinarice, Krnice in Suhe Pišnice. Z vrha na katerem se nahaja vpisna skrinjica z žigom, se nam odpre lep razgled na najvišje vrhove Julijskih Alp."
22,Rakova Špica,https://www.hribi.net/gora/rakova_spica/1/3178,Rakova Špica,Slovenija,Julijske Alpe,2545,"46,43008°N 13,81379°E",vrh,13104,44% (2042. mesto),5,0,0,,"Rakova špica je gora, ki se dviga med Dolkovo Špico ter Škrlatico. Na njo ne vodi nobena označena pot. Z vrha se lepo vidi na Škrlatico, Špik, Razor, Dolkovo Špico in druge vrhove."
23,Dovški križ,https://www.hribi.net/gora/dovski_kriz/1/22,Dovški križ,Slovenija,Julijske Alpe,2542,"46,44081°N 13,8422°E",vrh,549112,93% (248. mesto),4,2,3,1,Dovški Križ se nahaja med Oltarjem in manj znano Škrnatarico nad alpsko dolino Vrata. Z vrha je lep pogled proti že omenjenemu Oltarju in sosednjim Rokavom. Na drugi strani doline Vrat pa se vidi najvišji slovenski vrh Triglav s svojimi sosedi. Na severni strani vrha pa je točno pod njim krnica Amfiteater.
24,Kredarica,https://www.hribi.net/gora/kredarica/1/2990,Kredarica,Slovenija,Julijske Alpe,2541,"46,3801°N 13,8524°E",vrh,50690,46% (1968. mesto),6,1,4,,"Kredarica je 2541 metrov visok razgleden vrh, ki se nahaja med Triglavom in Ržjo. Z vrha se nam odpre lep pogled proti Triglavu in okoliškim goram. Ob lepi vidljivosti razglede seže vse do Visokih Tur v Avstriji."
25,Rž,https://www.hribi.net/gora/rz/1/26,Rž,Slovenija,Julijske Alpe,2538,"46,38155°N 13,8591°E",vrh,502714,91% (337. mesto),14,4,0,3,"Vrh se nahaja med Kredarico in Rjavino. Z vrha je lep razgled na Triglav, Begunjski vrh, Vrbanove špice, Rjavino in goram nad dolino Krmo in Velim poljem."
26,Rjavina,https://www.hribi.net/gora/rjavina/1/27,Rjavina,Slovenija,Julijske Alpe,2532,"46,39185°N 13,88088°E",vrh,672389,97% (108. mesto),24,9,6,2,"Rjavina se nahaja med dvema alpskima dolinama. Dolini sta Kot in Krma. Z vrha, ki ima vpisno knjigo je zelo lep pogled proti Triglavu, Rži in ostalim vrhovom okrog Triglava. Lepo se vidijo tudi vrhovi nad dolino Vrat. Tam je najvišja Škrlatica."
27,Špik nad Nosom / Foronon del Buinz,https://www.hribi.net/gora/spik_nad_nosom___foronon_del_buinz/1/1342,Špik nad Nosom / Foronon del Buinz,Italija,Julijske Alpe,2531,"46,41788°N 13,46558°E","vrh, bivak",503429,91% (334. mesto),7,2,0,,"Špik nad Nosom je 2531 m visoka gora, ki se nahaja v grebenu gora med Montažem in Višem. S kamnitega vrha se nam ob lepem vremenu odpre razgled na skupini Viša in Montaža ter mejnemu grebenu, kjer najlepše vidimo masiv Kanina. Pred nekaj leti so na vrhu postavili tudi bivak Luca Vuerich, kjer lahko prenoči 9 oseb, posvečen pa je alpinistu iz Trbiža, po katerem bivak nosi tudi ime."
28,Triglavska vojašnica Viktorja Emanuela III,https://www.hribi.net/gora/triglavska_vojasnica_viktorja_emanuela_iii/1/105,Triglavska vojašnica Viktorja Emanuela III,Slovenija,Julijske Alpe,2520,"46,37661°N 13,82681°E",,513267,91% (311. mesto),6,3,0,,Triglavska vojašnica Viktorja Emanuela III (napačno poimenovanje Morbegna) je propadajoča visokogorska vojaška trdnjava. V primeru nevihte nam nudi zasilno bivakiranje. Ni namenjeno prenočevanju ali čemu podobno. Tudi zadrževanje v notranjosti je na lastno odgovornost. Le nekaj metrov od vojašnice je postavljen strelni bunker v katerem si je Žakelj postavil vikend. Sicer pa je vojašnica nastala med prvo in drugo svetovno vojno. Od tu pa je lep pogled na Trentske gore.
29,Triglavski dom na Kredarici,https://www.hribi.net/gora/triglavski_dom_na_kredarici/1/23,Triglavski dom na Kredarici,Slovenija,Julijske Alpe,2515,"46,37891°N 13,84928°E","vrh, koča, cerkev",748481,98% (70. mesto),16,9,3,19,Triglavski dom na Kredarici je najvišja slovenska planinska postojanka. Odprta je skozi vse leto vendar izven sezone le zasilno. Od doma je lep pogled proti Malemu in Velikemu Triglavu in izginjajočemu ledeniku pod njim. Zeleni sneg kot se imenuje ledenik je pri meritvah pred leti meril manj kot hektar. Lep je tudi razgled na ostale vrhove. V poletnem času pa se v okolici Kredarice pasejo ovce. Ob domu stoji tudi najvišja meteorološka opazovalnica v Sloveniji. Dom dobiva električno energijo s pomočjo sončnih celic in dveh veternih elektraren. Ob domu pa stoji tudi kapelica kjer je vsako nedeljo v avgustu sveta maša.
30,Divja koza,https://www.hribi.net/gora/divja_koza/1/3954,Divja koza,Slovenija,Julijske Alpe,2507,"46,43031°N 13,50306°E",vrh,3850,37% (2284. mesto),2,1,0,,"Divja koza je 2507 metrov visok vrh, ki se nahaja v zahodnem delu Julijskih Alp. Je v neposredni bližini Viša (na zahodu) in Trbiške Krniške špice (na vzhodu), pod goro leži kraj Rabelj in Rabeljsko jezero v Jezerski dolini. Z vrha je lep pogled proti Kaninu in ostalim najvišjim vrhom Julijskih Alp. Proti severu pa pogled sega proti Karnijskim Alpam, Svetim Višarjam in Kamnitem lovcu, ter proti Karavankam in Ziljskim in Krškim Alpam."
31,Koštrunove špice,https://www.hribi.net/gora/kostrunove_spice/1/1282,Koštrunove špice,Italija,Julijske Alpe,2502,"46,42243°N 13,48655°E",vrh,469583,88% (427. mesto),2,3,0,,"Koštrunove špice so 2502 m visok vrh, ki se nahajajo jugozahodno od Viša (2666 m). Z vrha se nam odpre lep razgled na večji del zahodnih Julijskih Alp."
32,Mala Martuljška Ponca,https://www.hribi.net/gora/mala_martuljska_ponca/1/1382,Mala Martuljška Ponca,Slovenija,Julijske Alpe,2501,"46,44339°N 13,82059°E",vrh,434019,85% (543. mesto),1,1,1,,"Mala Martuljška Ponca je 2501 m visoka gora, ki se nahaja severno od visokogorske krnice Pod srcem. Z vrha, na katerem je vpisna skrinjica, se nam odpre lep razgled na osrednji del Martuljških gora in večino najvišjih vrhov Julijskih Alp."
33,Stenar,https://www.hribi.net/gora/stenar/1/33,Stenar,Slovenija,Julijske Alpe,2501,"46,40795°N 13,81896°E",vrh,720184,98% (84. mesto),17,5,2,3,"Stenar je 2501 m visok vrh, ki se strmo dviga nad dolino Vrat. S prostranega vrha, na katerem je vpisna skrinjica in žig, se nam odpre lep razgled na Dolkovo špico, Škrlatico, Cmir, Begunjski vrh, Triglav, Bovški Gamsovec, Planjo, Razor ter sosednji Križ."
34,Spodnji Rokav,https://www.hribi.net/gora/spodnji_rokav/1/2248,Spodnji Rokav,Slovenija,Julijske Alpe,2500,"46,43063°N 13,82878°E",vrh,347223,77% (839. mesto),1,1,0,,"Spodnji Rokav, ki pričenja Rokavsko skupino in pogorje Škrlatice, spada brez dvoma med naše najbolj divje in nepristopne vrhove. Prav noben vzpon nanj ni lahek, če ne tehnično je pa orientacijsko precej zahteven. Veliko pozornosti velja nameniti tudi skali, ki ni vedno dobre kvalitete. Prej bo obratno, manj je mest z dobro skalo, kot veliko mest s slabšo kvaliteto skale. Vzpon nanj priporočam v jeseni, ko so macesni rumeni in vse žari. Takrat resnično začutiš pojem ""simfonija v skali"". Pa varen vzpon na izjemno divjo in samotno goro. Pristopa sta dva, vendar se bom osredotočil samo na smer Potočnik-Tominšek. Smer, ki s svojimi 700 m spada že med resnejše ture nikakor ni za podcenjevati. Še vsak, ki je smer podcenjeval se je tudi pošteno opekel. Dovolj besed. Opisu na pot!"
35,Prestreljenik,https://www.hribi.net/gora/prestreljenik/1/35,Prestreljenik,"Italija , Slovenija",Julijske Alpe,2499,"46,36214°N 13,47237°E",vrh,550380,93% (243. mesto),8,7,2,1,"Prestreljenik je 2499 m visoka gora, ki se nahaja v osrčju Kaninskega pogorja. Z vrha, na katerem se nahaja vpisna skrinjica v obliki Aljaževega stolpa, se nam odpre lep razgled na Kaninsko pogorje, Montaž, najvišje vrhove osrednjih Julijcev, Krn in Bovško kotlino. Ob lepem vremenu in dobri vidljivosti pa lahko opazimo tudi Tržaški zaliv."
36,Široka peč,https://www.hribi.net/gora/siroka_pec/1/1381,Široka peč,Slovenija,Julijske Alpe,2497,"46,44378°N 13,84228°E",vrh,458853,87% (456. mesto),2,1,0,1,"Široka peč je 2497 m visoka gora, ki se nahaja v osrčju Martuljške skupine gora. Na vrh ne vodi nobena pot, zato vrh le poredko dočaka obisk. Sicer pa Široka peč skupaj z Dovškim križem in Škrnatarico tvori naravni Amfiteater."
37,Poprovec,https://www.hribi.net/gora/poprovec/1/1546,Poprovec,Slovenija,Julijske Alpe,2496,"46,35583°N 13,80273°E",vrh,372591,80% (744. mesto),7,3,0,1,"Poprovec je 2496 m visok vrh, ki se nahaja jugozahodno od 2569 m visokega Kanjavca. Z vrha, na katerem se nahaja manjši možic, pa se nam odpre lep razgled na najvišje vrhove Julijskih Alp."
38,Teme (Hribarice),https://www.hribi.net/gora/teme_hribarice/1/1545,Teme (Hribarice),Slovenija,Julijske Alpe,2495,"46,3575°N 13,8044°E",vrh,363940,79% (779. mesto),3,2,0,1,"Teme so manj izrazit vrh, ki se nahaja med Kanjavcem in Poprovcem. Z malo obiskanega vrha, se nam ob lepem vremenu odpre razgled, ki seže vse do italijanskih Dolomitov."
39,Veliki Ozebnik,https://www.hribi.net/gora/veliki_ozebnik/1/40,Veliki Ozebnik,Slovenija,Julijske Alpe,2480,"46,41572°N 13,67936°E",vrh,452439,87% (481. mesto),4,4,0,2,Veliki Ozebnik je gora z lepim razgledom na sosednji Jalovec. Z vrha je lep pogled tudi proti celotnim Julijskim alpam in proti dolini Loške Koritnice in Zadnji Trenti. Na vrhu stoji možic.
40,Vrh Zelenic,https://www.hribi.net/gora/vrh_zelenic/1/4125,Vrh Zelenic,Slovenija,Julijske Alpe,2478,"46,37798°N 13,82222°E",vrh,647,21% (2854. mesto),5,1,0,,Vrh Zelenic je najzahodnejši od stranskih vrhov Triglava.
41,Špik,https://www.hribi.net/gora/spik/1/43,Špik,Slovenija,Julijske Alpe,2472,"46,44872°N 13,81432°E",vrh,848932,99% (47. mesto),18,5,6,2,"Špik je 2472 m visoka gora, ki se nahaja v osrčju Martuljške skupine gora. Z vrha, ki je lepo viden s ceste, ki pelje skozi Gozd-Martuljek, se nam odpre lep razgled na Karavanke, Zgornje Savsko dolino, Martuljško skupino ter ostale najvišje vrhove Julijskih Alp. Vrh ima vpisno skrinjico, vpisno knjigo ter žig."
42,Mišeljski Konec,https://www.hribi.net/gora/miseljski_konec/1/46,Mišeljski Konec,Slovenija,Julijske Alpe,2464,"46,35458°N 13,81831°E",vrh,441481,86% (522. mesto),11,1,1,,"Mišeljski konec je najvišji vrh Mišeljskega grebena, ki se razteza med Velim poljem in Hribaricami. Je zadnji v vrsti iz smeri Velega polja. Z vrha je lep pogled na bližnji Kanjavec in Triglav. Lepo se vidijo tudi ostali veliki vrhovi Julijskih Alp."
43,Begunjski vrh,https://www.hribi.net/gora/begunjski_vrh/1/48,Begunjski vrh,Slovenija,Julijske Alpe,2461,"46,39032°N 13,85436°E",vrh,544924,93% (253. mesto),16,6,2,3,"Begunjski vrh je 2461 m visoka gora, ki se nahaja v osrčju najvišjih gora v Julijskih Alpah. Z vrha, ki ima vpisno skrinjico ter žig, se nam odpre lep razgled na Triglav, Rž, Rjavino, Cmir, na drugo stran doline Vrat, pa lepo vidimo Škrlatico, Dolkovo špico, Stenar ter Bovški Gamsovec."
44,Planja,https://www.hribi.net/gora/planja/1/423,Planja,Slovenija,Julijske Alpe,2453,"46,40712°N 13,78739°E",vrh,511136,91% (317. mesto),4,4,1,5,Vrh se nahaja med dvema alpskima dolinama. Na severni strani je dolina Mlinarice na južni pa Zadnjica. Z vrha je lep pogled na sosednji Razor in vrhove okrog Kriških podov. Vrh ima precej prostora in ima vpisno knjigo.
45,Vrh Laške Planje,https://www.hribi.net/gora/vrh_laske_planje/1/3597,Vrh Laške Planje,"Italija , Slovenija",Julijske Alpe,2448,"46,3441°N 13,44424°E",vrh,4390,38% (2239. mesto),15,1,2,,"Vrh Laške Planje (Lasca Plagna) je 2448 metrov visok vrh, ki se nahaja na mejnem grebenu med Italijo in Slovenijo. Z vrha je čudovit razgled na vrhove nad Kaninskimi podi ter proti dolini Rezija, v daljavi pa lahko v lepem vremenu vidimo tudi morje. Preko vrha poteka tudi zanimiva in zelo zahtevna Visoka Rezijanska pot."
46,Vršaki (Vzhodni vrh),https://www.hribi.net/gora/vrsaki_vzhodni_vrh/1/1540,Vršaki (Vzhodni vrh),Slovenija,Julijske Alpe,2448,"46,3507°N 13,808°E",vrh,326725,75% (909. mesto),5,4,1,,"Vzhodni vrh Vršakov, oz. prvi od Hribaric je 2448 m visoka gora, ki se nahaja med Kanjavcem, Debelim vrhom in Zadnjim Voglom. Z vrha, na katerem stoji kamnit možic, se nam odpre lep razgled na najvišje vrhove Julijskih Alp."
47,Vrh Krnice,https://www.hribi.net/gora/vrh_krnice/1/1373,Vrh Krnice,Italija,Julijske Alpe,2441,"46,3652°N 13,43339°E",vrh,354043,77% (819. mesto),17,2,0,,"Vrh Krnice je 2441 m visok vrh, ki se nahaja severozahodno od Visokega Kanina. Z vrha, na katerem stoji običajno prazna vpisna skrinjica, se nam odpre lep razgled na vrhove nad dolino Rezije in ostale vrhove zahodnih Julijcev."
48,Vršaki (Južni vrh),https://www.hribi.net/gora/vrsaki_juzni_vrh/1/1543,Vršaki (Južni vrh),Slovenija,Julijske Alpe,2431,"46,3475°N 13,8024°E",vrh,249333,67% (1203. mesto),3,2,0,1,"Južni vrh Vršakov je najjužnejši vrh v malo obiskanem grebenu Vršakov. Z vrha, na katerem stoji manjši možic, se nam odpre lep razgled na najvišje vrhove v Julijskih Alpah."
49,Bivak Suringar,https://www.hribi.net/gora/bivak_suringar/1/1339,Bivak Suringar,Italija,Julijske Alpe,2430,"46,43675°N 13,42831°E",bivak,335420,76% (883. mesto),1,2,0,,"Opis bivaka: Bivak Suringar je manjši bivak, ki se nahaja pod vrhom Montaža. V bivaku, ki je pritrjen na steno, lahko prenočijo štiri osebe."
50,Kukova špica,https://www.hribi.net/gora/kukova_spica/1/402,Kukova špica,Slovenija,Julijske Alpe,2427,"46,44726°N 13,85481°E",vrh,572284,94% (204. mesto),10,2,3,2,"Kukova špica se nahaja med Gozd Martuljkom in dolino Vrat. Ker je to z vzhoda prva visoka gora ima zelo lep razgled. Zelo lep pa je tudi pogled na Triglav, Amfiteater ter sosednjo Škrnatarico. Vrh je prostoren in ima vpisno knjigo."
51,Vršaki (Srednji vrh),https://www.hribi.net/gora/vrsaki_srednji_vrh/1/1541,Vršaki (Srednji vrh),Slovenija,Julijske Alpe,2424,"46,3496°N 13,8053°E",vrh,310923,73% (971. mesto),3,2,0,1,"Srednji vrh Vršakov je manj izrazit vrh, ki se nahaja med vzhodnim in zahodnim Vršakom. Z vrha, se nam odpre lep razgled na Debeli vrh, greben Voglov in Kanjavec."
52,Črni Vogel,https://www.hribi.net/gora/crni_vogel/1/4050,Črni Vogel,"Italija , Slovenija",Julijske Alpe,2422,"46,34819°N 13,44256°E",vrh,818,24% (2777. mesto),7,1,0,,"Črni Vogel (italijansko Cerni Vogu) je 2422 metrov visok vrh, ki se nahaja v Kaninskem pogorju na meji med Italijo in Slovenijo. Preko vrha poteka Visoka Rezijanska pot. Vrh je poznan tudi po nesreči nemškega bombnika Henkel, ki se je v goro zaletel leta 1944. V nesreči je umrlo 6 ljudi."
53,Vršaki (Vrh za Koritami),https://www.hribi.net/gora/vrsaki_vrh_za_koritami/1/1542,Vršaki (Vrh za Koritami),Slovenija,Julijske Alpe,2422,"46,3488°N 13,8029°E",vrh,216302,64% (1324. mesto),2,2,0,1,"Vrh za Koritami je 2422 m visoka gora, ki se strmo dviga nad zgornjim delom Doline Triglavskih jezer. Z vrha, ki je sestavni del Vršakov, se nam odpre lep razgled po celotnem grebenu Vršakov in okoliškim goram."
54,Špik Hude police / Cima di Terrarossa,https://www.hribi.net/gora/spik_hude_police___cima_di_terrarossa/1/1053,Špik Hude police / Cima di Terrarossa,Italija,Julijske Alpe,2420,"46,4266°N 13,45217°E",vrh,678433,97% (103. mesto),2,2,0,4,"Špik Hude police je razgleden vrh, ki se nahaja med Montažem in Višem. Z vrha, ki je pogosto poln kozorogov lahko občudujemo najvišje vrhove zahodnih Julijcev, kjer izstopajo Montaž, Viš in Visoki Kanin."
55,Pihavec,https://www.hribi.net/gora/pihavec/1/1052,Pihavec,Slovenija,Julijske Alpe,2419,"46,39254°N 13,80664°E",vrh,532548,92% (275. mesto),6,4,3,1,"Pihavec je prostran in razgleden vrh, ki se nahaja južno od Kriških podov. Z vrha, ki ima vpisno skrinjico in žig je lep pogled na večino gora nad zgornjo Soško dolino. Na Pihavcu pa je svojo gorniško pot končal avtor številnih planinskih knjig in en največjih poznavalcev Julijskih Alp Tine Mihelič."
56,Špik nad Planjo / Punta Plagnis,https://www.hribi.net/gora/spik_nad_planjo___punta_plagnis/1/1629,Špik nad Planjo / Punta Plagnis,Italija,Julijske Alpe,2411,"46,41479°N 13,48343°E",vrh,309303,73% (976. mesto),10,1,0,1,"Špik nad Planjo je razmeroma enostavno dostopen vrh v grebenu, ki ga krasi morda najlepša zavarovana pot v Julijcih, Ceria-Merlone. Navzven pomaknjen greben in mulatjera iz 1.svetovne vojne omogočata široke razglede na bližje Zahodne Julijce."
