mountain_id,route_name,route_time,route_difficulty,start_point,ferata,height_diff,gear_summer,gear_winter
1,Uskovnica (Razpotje) - Triglav (čez Triglavsko škrbino),6 h,zelo zahtevna označena pot,Uskovnica (Razpotje) (1215 m),,1649,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
1,Rudno polje - Triglav (mimo Doma Planika in čez Mali Triglav),6 h 20 min,zelo zahtevna označena pot,Rudno polje (1347 m),,1517,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
1,Zadnjica - Triglav (Kugyjeva pot na Triglav),7 h 30 min,"zelo zahtevna označena pot, zahtevna neoznačena steza",Zadnjica (650 m),,2214,"čelada, komplet za samovarovanje, cepin","čelada, komplet za samovarovanje, cepin, dereze, svetilka"
1,Uskovnica (Lom) - Triglav (čez Triglavsko škrbino),6 h 20 min,zelo zahtevna označena pot,Uskovnica (Lom) (1076 m),,1788,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
1,Srednja vas - Triglav (Za Ribnico in čez Triglavsko škrbino),7 h 45 min,zelo zahtevna označena pot,Srednja vas (583 m),,2281,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
2,"Pecol - Montaž / Jôf di Montasio (mimo koče, čez Pipanovo lestev)",3 h 30 min,zelo zahtevna označena pot,Pecol (1510 m),B,1243,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
2,Pecol - Montaž / Jôf di Montasio (čez Findeneggov ozebnik),3 h 45 min,zelo zahtevna označena pot,Pecol (1510 m),,1243,čelada,"čelada, cepin, dereze"
2,Planina Zajzera - Montaž / Jôf di Montasio (Via Amalia),6 h 45 min,zelo zahtevna označena pot,Planina Zajzera (1004 m),C,1749,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
3,Aljažev dom v Vratih - Škrlatica,6 h,zelo zahtevna označena pot,Aljažev dom v Vratih (1015 m),,1725,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
3,Ruski križ - Škrlatica (čez Kriško steno),7 h 30 min,zelo zahtevna označena pot,Ruski križ (1000 m),,1740,"čelada, komplet za samovarovanje, cepin, dereze","čelada, komplet za samovarovanje, cepin, dereze"
3,Zadnjica - Škrlatica,8 h 45 min,zelo zahtevna označena pot,Zadnjica (650 m),,2090,"čelada, komplet za samovarovanje, cepin, dereze","čelada, komplet za samovarovanje"
3,Gozd Martuljek  - Škrlatica (grebensko prečenje Mali Oltar-Škrlatica),14 h 30 min,alpinistični vzpon,Gozd Martuljek  (750 m),,1990,čelada,
3,Pišnica - Škrlatica (čez Kriško steno),8 h 5 min,zelo zahtevna označena pot,Pišnica (850 m),,1890,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
4,Aljažev dom v Vratih - Mali Triglav (Tominškova pot),5 h 25 min,zelo zahtevna označena pot,Aljažev dom v Vratih (1015 m),,1710,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
4,Aljažev dom v Vratih - Mali Triglav (čez Prag),5 h 35 min,zelo zahtevna označena pot,Aljažev dom v Vratih (1015 m),,1710,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
4,Dolina Kot - Mali Triglav,5 h 35 min,zelo zahtevna označena pot,Dolina Kot (950 m),,1775,čelada,"čelada, cepin, dereze"
5,Mangartsko sedlo - Mangart (Slovenska pot),2 h,zelo zahtevna označena pot,Mangartsko sedlo (2055 m),B,624,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
5,Mangartsko sedlo - Mangart (Italijanska pot),2 h,zahtevna označena pot,Mangartsko sedlo (2055 m),,624,čelada,"čelada, cepin, dereze"
5,Belopeška jezera - Mangart (Via Italiana),5 h 30 min,izjemno zahtevna označena pot,Belopeška jezera (929 m),C,1750,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
5,Loška Koritnica - Mangart,7 h,zelo zahtevna označena pot,Loška Koritnica (780 m),B/C,1899,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
5,Pri Mlinču - Mangart (slovenska pot),4 h 45 min,zelo zahtevna označena pot,Pri Mlinču (1094 m),,1585,"čelada, komplet za samovarovanje, svetilka","čelada, komplet za samovarovanje, cepin, dereze, svetilka"
5,Pri Mlinču - Mangart (italijanska pot),4 h 45 min,zahtevna označena pot,Pri Mlinču (1094 m),,1585,"čelada, svetilka","čelada, cepin, dereze, svetilka"
5,Pri Mlinču - Mangart (čez Gladki rob in po slovenski poti),4 h 45 min,"lahka neoznačena steza, zelo zahtevna označena pot",Pri Mlinču (1094 m),,1585,čelada,"čelada, komplet za samovarovanje, cepin, dereze"
5,Pri Mlinču - Mangart (čez Gladki rob in po italijanski poti),4 h 45 min,"lahka neoznačena steza, zahtevna označena pot",Pri Mlinču (1094 m),,1585,čelada,"čelada, cepin, dereze"
6,Nevejski preval - Viš/Jof Fuart,5 h,zahtevna označena pot,Nevejski preval (1170 m),,1496,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
6,Cave del Mole - Viš/Jof Fuart,4 h 30 min,zahtevna označena pot,Cave del Mole (1035 m),,1631,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
6,Zajzera - Viš/Jof Fuart (Severovzhodna deber),6 h,izjemno zahtevna označena pot,Zajzera (897 m),,1769,"čelada, komplet za samovarovanje, cepin, dereze","čelada, komplet za samovarovanje, cepin, dereze"
6,Cave del Mole - Viš/Jof Fuart (Anita Goitan),5 h 30 min,zelo zahtevna označena pot,Cave del Mole (1035 m),,1631,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
6,Bele vode - Viš/Jof Fuart (Pot stoletnice),6 h,zelo zahtevna označena pot,Bele vode (980 m),B/C,1686,"čelada, komplet za samovarovanje, svetilka","čelada, komplet za samovarovanje, cepin, dereze, svetilka"
7,Pecol - Vrh Brda / Cima Verde,3 h 10 min,zelo zahtevna neoznačena steza,Pecol (1510 m),,1151,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
8,Poldov rovt (Vrata) - Visoki Rokav,6 h 30 min,zelo zahtevno brezpotje,Poldov rovt (Vrata) (941 m),,1705,"čelada, cepin, dereze","čelada, cepin, dereze"
8,Poldov rovt (Vrata) - Visoki Rokav (preko Velikega Oltarja (po grebenu)),9 h,zelo zahtevno brezpotje,Poldov rovt (Vrata) (941 m),,1705,"čelada, cepin, dereze, svetilka","čelada, cepin, dereze, svetilka"
9,Dom v Tamarju - Jalovec (čez Kotovo sedlo),5 h 15 min,zelo zahtevna označena pot,Dom v Tamarju (1108 m),,1537,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
9,Vršič - Jalovec (mimo zavetišča pod Špičkom),6 h 30 min,zelo zahtevna označena pot,Vršič (1611 m),,1034,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
9,Vršič - Jalovec (čez Jalovško škrbino),6 h,zelo zahtevna označena pot,Vršič (1611 m),,1034,čelada,"čelada, cepin, dereze"
9,Zadnja Trenta (Flori) - Jalovec (mimo zavetišča pod Špičkom),6 h,zelo zahtevna označena pot,Zadnja Trenta (Flori) (900 m),,1745,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
9,Dom v Tamarju - Jalovec (čez Jalovško škrbino),5 h 45 min,zelo zahtevna označena pot,Dom v Tamarju (1108 m),,1537,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
9,Zadnja Trenta (Flori) - Jalovec (čez Jalovško škrbino),6 h,zelo zahtevna označena pot,Zadnja Trenta (Flori) (900 m),,1745,čelada,"čelada, cepin, dereze"
9,Dom v Tamarju - Jalovec (zimski plezalni vzpon skozi zimski kamin),5 h 30 min,zelo zahtevno brezpotje,Dom v Tamarju (1108 m),,1537,,"čelada, cepin, dereze, svetilka"
9,Loška Koritnica - Jalovec (mimo zavetišča pod Špičkom),7 h 30 min,zelo zahtevna označena pot,Loška Koritnica (780 m),,1865,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
9,Dom v Tamarju - Jalovec (po melišču in čez Kotovo sedlo),5 h 15 min,zelo zahtevna označena pot,Dom v Tamarju (1108 m),,1537,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
9,Bavšica - Jalovec,8 h 15 min,zelo zahtevna označena pot,Bavšica (698 m),,1947,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
10,Poldov rovt (Vrata) - Veliki Oltar (mimo bivaka),6 h,zelo zahtevno brezpotje,Poldov rovt (Vrata) (941 m),,1680,čelada,"čelada, cepin, dereze"
10,Ruski križ - Veliki Oltar (po SZ grebenu),6 h,alpinistični vzpon,Ruski križ (1000 m),,1621,"čelada, cepin, dereze, svetilka","čelada, cepin, dereze, svetilka"
11,Ruski križ - Velika Martuljška Ponca,7 h,zelo zahtevno brezpotje,Ruski križ (1000 m),,1602,"čelada, cepin, dereze","čelada, cepin, dereze"
12,Zadnjica - Razor,6 h,zelo zahtevna označena pot,Zadnjica (650 m),C,1951,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
12,Vršič - Razor,6 h,zelo zahtevna označena pot,Vršič (1611 m),C,990,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
12,Aljažev dom v Vratih - Razor (čez Sovatno),6 h 30 min,zelo zahtevna označena pot,Aljažev dom v Vratih (1015 m),C,1586,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
12,Ruski križ - Razor (čez Kriško steno),7 h 10 min,zelo zahtevna označena pot,Ruski križ (1000 m),C,1601,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
13,Aljažev dom v Vratih - Dolkova špica (zahodna pot),5 h 15 min,zahtevna označena pot,Aljažev dom v Vratih (1015 m),,1576,čelada,"čelada, cepin, dereze"
13,Aljažev dom v Vratih - Dolkova špica (vzhodna pot),6 h,zelo zahtevna označena pot,Aljažev dom v Vratih (1015 m),,1576,čelada,"čelada, cepin, dereze"
13,Aljažev dom v Vratih - Dolkova špica (po JV grebenu),5 h,zelo zahtevno brezpotje,Aljažev dom v Vratih (1015 m),,1576,čelada,"čelada, cepin, dereze, svetilka"
13,Ruski križ - Dolkova špica (čez Kriško steno),5 h 45 min,zelo zahtevna označena pot,Ruski križ (1000 m),,1591,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
13,Pišnica - Dolkova špica (čez Kriško steno),6 h 20 min,zelo zahtevna označena pot,Pišnica (850 m),,1741,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
14,D Postaja - Visoki Kanin,2 h 30 min,zelo zahtevna označena pot,D Postaja (2202 m),,385,čelada,"čelada, cepin, dereze"
14,Nevejski preval - Visoki Kanin (Via ferrata Divisione Julia),4 h 45 min,zelo zahtevna označena pot,Nevejski preval (1170 m),C,1417,"čelada, komplet za samovarovanje, cepin, dereze","čelada, komplet za samovarovanje, cepin, dereze"
14,Gozdec - Visoki Kanin (čez Zadnji dol),6 h,zelo zahtevna označena pot,Gozdec (1075 m),,1512,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
14,Nevejski preval - Visoki Kanin (Via ferrata Rosalba Grasselli),6 h 15 min,zelo zahtevna označena pot,Nevejski preval (1170 m),B/C,1417,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
14,Gozdec - Visoki Kanin (mimo Doma Petra Skalarja na Kaninu),6 h 50 min,zelo zahtevna označena pot,Gozdec (1075 m),,1512,čelada,"čelada, cepin, dereze"
14,Gozdec - Visoki Kanin (Visoka Rezijanska pot),7 h,zelo zahtevna označena pot,Gozdec (1075 m),,1512,čelada,"čelada, cepin, dereze"
14,Korito / Coritis - Visoki Kanin (Via Normale Resiana),6 h 10 min,"zahtevna označena pot, zahtevno brezpotje",Korito / Coritis (625 m),,1962,čelada,"čelada, cepin, dereze"
14,Korito / Coritis - Visoki Kanin (Via ferrata Rosalba Grasselli),6 h 50 min,zelo zahtevna označena pot,Korito / Coritis (574 m),B/C,2013,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
15,Dom Planika pod Triglavom - Rjavec,1 h,zelo zahtevno brezpotje,Dom Planika pod Triglavom (2401 m),,170,čelada,"čelada, cepin, dereze"
16,D Postaja - Mali Kanin,2 h 45 min,zelo zahtevna označena pot,D Postaja (2202 m),,369,čelada,"čelada, cepin, dereze"
16,Korito / Coritis - Mali Kanin (Via Normale Resiana),5 h 50 min,"zahtevna označena pot, zahtevno brezpotje",Korito / Coritis (625 m),,1946,čelada,"čelada, cepin, dereze"
16,Gozdec - Mali Kanin (Visoka Rezijanska pot),6 h 40 min,zelo zahtevna označena pot,Gozdec (1075 m),,1496,čelada,"čelada, cepin, dereze"
17,Zadnjica - Kanjavec (Zahodni vrh) (čez Prehodavce),6 h 15 min,"lahka označena pot, lahka neoznačena steza",Zadnjica (650 m),,1919,,"cepin, dereze"
17,Zadnjica - Kanjavec (Zahodni vrh) (čez Dolič),6 h 30 min,"zahtevna označena pot, lahka neoznačena steza",Zadnjica (650 m),,1919,čelada,"čelada, cepin, dereze"
17,Planina Blato - Kanjavec (Zahodni vrh) (čez Planino v Lazu in po Dolini za Debelim vrhom),5 h 45 min,lahko brezpotje,Planina Blato (1147 m),,1422,,"cepin, dereze"
17,Planina Blato - Kanjavec (Zahodni vrh) (čez Planino Krstenico in po Dolini za Debelim vrhom),6 h,lahko brezpotje,Planina Blato (1147 m),,1422,,"cepin, dereze"
18,Zadnjica - Kanjavec (čez Prehodavce),6 h 15 min,lahka označena pot,Zadnjica (690 m),,1879,,"cepin, dereze"
18,Planina Blato - Kanjavec (Za Kopico),5 h 45 min,lahka označena pot,Planina Blato (1147 m),,1422,,"cepin, dereze"
18,Koča pri Savici - Kanjavec (čez Triglavska jezera),6 h,zahtevna označena pot,Koča pri Savici (653 m),,1916,čelada,"čelada, cepin, dereze"
18,Zadnjica - Kanjavec (čez Dolič),6 h 15 min,zahtevna označena pot,Zadnjica (650 m),,1919,čelada,"čelada, cepin, dereze"
18,Planina Blato - Kanjavec (po Dolini za Debelim vrhom),5 h 45 min,lahko brezpotje,Planina Blato (1147 m),,1422,,"cepin, dereze"
18,Planina Blato - Kanjavec (po Dolini za Mišelj vrhom),6 h 15 min,lahko brezpotje,Planina Blato (1147 m),,1422,,"cepin, dereze"
18,Planina Blato - Kanjavec (čez Planino Krstenico in po Dolini za Debelim vrhom),6 h,lahko brezpotje,Planina Blato (1147 m),,1422,,"cepin, dereze"
18,Aljažev dom v Vratih - Kanjavec,7 h 10 min,zahtevna označena pot,Aljažev dom v Vratih (1015 m),,1554,čelada,"čelada, cepin, dereze"
18,Aljažev dom v Vratih - Kanjavec,7 h 10 min,lahka označena pot,Aljažev dom v Vratih (1015 m),,1554,čelada,"čelada, cepin, dereze"
19,Zadnjica - Glava v Zaplanji (čez Dolič),6 h 30 min,lahka neoznačena steza,Zadnjica (650 m),,1906,čelada,"čelada, cepin, dereze"
19,Aljažev dom v Vratih - Glava v Zaplanji (čez Plemenice),5 h 30 min,"zelo zahtevna označena pot, lahka neoznačena steza",Aljažev dom v Vratih (1015 m),,1541,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
19,Zadnjica - Glava v Zaplanji (čez Plemenice),6 h 15 min,"zelo zahtevna označena pot, lahka neoznačena steza",Zadnjica (650 m),,1906,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
19,Planina Blato - Glava v Zaplanji (Za Kopico),7 h,lahka neoznačena steza,Planina Blato (1147 m),,1409,,"cepin, dereze"
20,Aljažev dom v Vratih - Rogljica (zahodna pot),5 h 15 min,zelo zahtevno brezpotje,Aljažev dom v Vratih (1015 m),,1532,čelada,"čelada, cepin, dereze"
21,Vršič - Prisank / Prisojnik (Kopiščarjeva pot),3 h 50 min,zelo zahtevna označena pot,Vršič (1611 m),B/C,936,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
21,Vršič - Prisank / Prisojnik (Slovenska pot),3 h 30 min,zahtevna označena pot,Vršič (1611 m),,936,čelada,"čelada, cepin, dereze"
21,Vršič - Prisank / Prisojnik (Grebenska pot),3 h 30 min,zelo zahtevna označena pot,Vršič (1611 m),,936,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
21,Koča na Gozdu - Prisank / Prisojnik (Hanzova pot),5 h,zelo zahtevna označena pot,Koča na Gozdu (1226 m),B/C,1321,"čelada, komplet za samovarovanje, cepin, dereze","čelada, komplet za samovarovanje, cepin, dereze"
21,Vršič - Prisank / Prisojnik (Jubilejna pot),6 h,zelo zahtevna označena pot,Vršič (1611 m),,936,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
21,Erjavčeva koča na Vršiču - Prisank / Prisojnik (Slovenska pot),3 h 45 min,zahtevna označena pot,Erjavčeva koča na Vršiču (1525 m),,1022,čelada,"čelada, cepin, dereze"
21,Erjavčeva koča na Vršiču - Prisank / Prisojnik (Kopiščarjeva pot),4 h,zelo zahtevna označena pot,Erjavčeva koča na Vršiču (1525 m),B/C,1022,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
21,Erjavčeva koča na Vršiču - Prisank / Prisojnik (grebenska pot),3 h 45 min,zelo zahtevna označena pot,Erjavčeva koča na Vršiču (1525 m),,1022,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
21,Vršič - Prisank / Prisojnik (čez Kajzljevo škrbino),4 h 45 min,zelo zahtevna označena pot,Vršič (1611 m),,936,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
21,Erjavčeva koča na Vršiču - Prisank / Prisojnik (Jubilejna pot),6 h 15 min,zelo zahtevna označena pot,Erjavčeva koča na Vršiču (1525 m),B/C,1022,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
21,Erjavčeva koča na Vršiču - Prisank / Prisojnik (čez Kajzljevo škrbino),5 h,zelo zahtevna označena pot,Erjavčeva koča na Vršiču (1525 m),,1022,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
23,Poldov rovt (Vrata) - Dovški križ (mimo bivaka),5 h 30 min,zelo zahtevna neoznačena steza,Poldov rovt (Vrata) (941 m),,1601,čelada,"čelada, cepin, dereze"
23,Poldov rovt (Vrata) - Dovški križ (čez Brinje),5 h 45 min,zelo zahtevna neoznačena steza,Poldov rovt (Vrata) (941 m),,1601,čelada,"čelada, cepin, dereze"
24,Dolina Krma - Kredarica,5 h 5 min,lahka označena pot,Dolina Krma (930 m),,1611,,"cepin, dereze"
25,Dolina Kot - Rž,4 h 45 min,zahtevno brezpotje,Dolina Kot (950 m),,1588,,"cepin, dereze"
25,Aljažev dom v Vratih - Rž (Tominškova pot),5 h 5 min,zahtevno brezpotje,Aljažev dom v Vratih (1015 m),,1523,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
25,Aljažev dom v Vratih - Rž (čez Prag),5 h 15 min,zahtevno brezpotje,Aljažev dom v Vratih (1015 m),,1523,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
25,Dolina Krma - Rž,6 h,zahtevno brezpotje,Dolina Krma (944 m),,1594,,"cepin, dereze"
26,Dolina Kot - Rjavina (plezalna pot),5 h,zelo zahtevna označena pot,Dolina Kot (950 m),B/C,1582,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
26,Dolina Kot - Rjavina (grebenska pot),6 h,zahtevna označena pot,Dolina Kot (950 m),,1582,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
26,Dolina Krma - Rjavina (čez Teme),5 h 20 min,zahtevno brezpotje,Dolina Krma (930 m),,1602,čelada,"čelada, cepin, dereze"
26,Aljažev dom v Vratih - Rjavina (Tominškova pot),6 h,zelo zahtevna označena pot,Aljažev dom v Vratih (1015 m),,1517,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
26,Aljažev dom v Vratih - Rjavina (čez Prag),6 h 30 min,zahtevna označena pot,Aljažev dom v Vratih (1015 m),,1517,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
26,Dolina Krma - Rjavina (grebenska pot),6 h 45 min,zahtevna označena pot,Dolina Krma (930 m),,1602,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
26,Dolina Kot - Rjavina (grebensko prečenje Macesnovec-Rjavina),8 h,zelo zahtevno brezpotje,Dolina Kot (950 m),,1582,čelada,"čelada, cepin, dereze, svetilka"
26,Konec ceste na Pokljuki - Rjavina,7 h 30 min,zahtevna označena pot,Konec ceste na Pokljuki (1340 m),,1192,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
26,Rudno polje - Rjavina,7 h 50 min,zahtevna označena pot,Rudno polje (1347 m),,1185,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
27,Pecol - Špik nad Nosom / Foronon del Buinz (Ceria Merlone),3 h 45 min,zelo zahtevna označena pot,Pecol (1510 m),,1021,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
27,Nevejski preval - Špik nad Nosom / Foronon del Buinz (čez Škrbino prednje Špranje),6 h,zelo zahtevna označena pot,Nevejski preval (1170 m),C,1361,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
28,Zadnjica - Triglavska vojašnica Viktorja Emanuela III (čez Dolič),6 h 25 min,lahka neoznačena steza,Zadnjica (650 m),,1870,,"cepin, dereze"
28,Zadnjica - Triglavska vojašnica Viktorja Emanuela III (čez Plemenice),6 h 10 min,"zelo zahtevna označena pot, lahka neoznačena steza",Zadnjica (650 m),,1870,"čelada, komplet za samovarovanje","čelada, komplet za samovarovanje, cepin, dereze"
28,Planina Blato - Triglavska vojašnica Viktorja Emanuela III (Za Kopico),6 h 55 min,lahka neoznačena steza,Planina Blato (1147 m),,1373,,"cepin, dereze"
29,Dolina Krma - Triglavski dom na Kredarici,5 h,lahka označena pot,Dolina Krma (944 m),,1571,,"cepin, dereze"
29,Rudno polje - Triglavski dom na Kredarici,5 h 20 min,zahtevna označena pot,Rudno polje (1347 m),,1168,čelada,"čelada, cepin, dereze"
